TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;09007541100;09;007;5411.00;1
TRACT;09007541200;09;007;5412.00;1
TRACT;09007541301;09;007;5413.01;1
TRACT;09007541302;09;007;5413.02;1
TRACT;09007541401;09;007;5414.01;1
TRACT;09007541402;09;007;5414.02;1
TRACT;09007541500;09;007;5415.00;1
TRACT;09007541600;09;007;5416.00;1
TRACT;09007541700;09;007;5417.00;1
TRACT;09007542000;09;007;5420.00;1
TRACT;09007542100;09;007;5421.00;1
TRACT;09007542200;09;007;5422.00;1
TRACT;09007550100;09;007;5501.00;1
TRACT;09007550201;09;007;5502.01;1
TRACT;09007550202;09;007;5502.02;1
TRACT;09007560100;09;007;5601.00;1
TRACT;09007560200;09;007;5602.00;1
TRACT;09007570100;09;007;5701.00;1
TRACT;09007570200;09;007;5702.00;1
TRACT;09007570300;09;007;5703.00;1
TRACT;09007580100;09;007;5801.00;1
TRACT;09007585100;09;007;5851.00;1
TRACT;09007590101;09;007;5901.01;1
TRACT;09007590102;09;007;5901.02;1
TRACT;09007595101;09;007;5951.01;1
TRACT;09007595102;09;007;5951.02;1
TRACT;09007600100;09;007;6001.00;1
TRACT;09007610100;09;007;6101.00;1
TRACT;09007610200;09;007;6102.00;1
TRACT;09007610300;09;007;6103.00;1
TRACT;09007610400;09;007;6104.00;1
TRACT;09007620100;09;007;6201.00;1
TRACT;09007630101;09;007;6301.01;1
TRACT;09007630102;09;007;6301.02;1
TRACT;09007640100;09;007;6401.00;1
TRACT;09007670100;09;007;6701.00;1
TRACT;09007670200;09;007;6702.00;1
TRACT;09007680101;09;007;6801.01;1
TRACT;09007680102;09;007;6801.02;1
TRACT;09007680200;09;007;6802.00;1
TRACT;09007990100;09;007;9901.00;1
