Census Tract,Town,Distressed Tract, CLM $ Collected  ,% of Total CLM $ Collected , Incentive Disbursements ,% of Total Incentive Disbursements,Residential CLM $ Collected,% of Total Residential CLM $ Collected,Residential Incentive Disbursements,% of Total Residential Incentive Disbursements ,C&I CLM $ Collected,% of Total C&I CLM $ Collected,C&I Incentive Disbursements,% of TotalC&I Incentive Disbursements ,Census Tract
9013528100,ANDOVER,No,"$77,025 ",0.000727705,"$47,231 ",0.00053266,"$66,198 ",0.06%,"$42,721 ",0.05%,"$10,828 ",0.01%,"$4,510 ",0.01%,09013528100
9013529100,ANDOVER,No,$644 ,0.000006088, $- ,0,$644 ,0.00%, $- ,0.00%, $- ,0.00%, $- ,0.00%,09013529100
9015830100,ASHFORD,No,"$106,666 ",0.001007736,"$64,459 ",0.000726946,"$84,964 ",0.08%,"$60,079 ",0.07%,"$21,702 ",0.02%,"$4,380 ",0.01%,09015830100
9015902200,ASHFORD,No,"$1,282 ",0.000012112,"$1,369 ",0.000015442,"$1,282 ",0.00%,"$1,369 ",0.00%, $- ,0.00%, $- ,0.00%,09015902200
9003460301,AVON,No,$380 ,0.000003593, $- ,0,$380 ,0.00%, $- ,0.00%, $- ,0.00%, $- ,0.00%,09003460301
9003460302,AVON,No,"$1,712 ",0.000016173,$431 ,0.000004855,"$1,712 ",0.00%,$431 ,0.00%, $- ,0.00%, $- ,0.00%,09003460302
9003462101,AVON,No,"$325,643 ",0.003076545,"$336,743 ",0.003797698,"$207,441 ",0.20%,"$266,604 ",0.30%,"$118,202 ",0.11%,"$70,139 ",0.08%,09003462101
9003462102,AVON,No,"$69,710 ",0.000658593,"$15,747 ",0.000177587,"$69,710 ",0.07%,"$15,747 ",0.02%, $- ,0.00%, $- ,0.00%,09003462102
9003462201,AVON,No,"$86,968 ",0.000821638,"$100,885 ",0.001137755,"$86,968 ",0.08%,"$100,885 ",0.11%, $- ,0.00%, $- ,0.00%,09003462201
9003462202,AVON,No,"$61,986 ",0.000585621,"$5,456 ",0.000061528,"$61,986 ",0.06%,"$5,456 ",0.01%, $- ,0.00%, $- ,0.00%,09003462202
9003330100,BARKHAMSTED,No,"$2,525 ",0.00002386,"$1,016 ",0.000011458,"$2,525 ",0.00%,"$1,016 ",0.00%, $- ,0.00%, $- ,0.00%,09003330100
9005290100,BARKHAMSTED,No,"$81,381 ",0.000768858,"$134,254 ",0.001514078,"$72,621 ",0.07%,"$129,327 ",0.15%,"$8,760 ",0.01%,"$4,927 ",0.01%,09005290100
9005320100,BARKHAMSTED,No,$19 ,0.000000176, $- ,0,$19 ,0.00%, $- ,0.00%, $- ,0.00%, $- ,0.00%,09005320100
9009130101,BEACON FALLS,No,$308 ,0.000002914, $- ,0,$308 ,0.00%, $- ,0.00%, $- ,0.00%, $- ,0.00%,09009130101
9009341100,BEACON FALLS,No,"$140,681 ",0.0013291,"$94,020 ",0.001060333,"$117,484 ",0.11%,"$88,520 ",0.10%,"$23,197 ",0.02%,"$5,500 ",0.01%,09009341100
9003400100,BERLIN,No,"$358,692 ",0.003388781,"$437,683 ",0.004936067,"$194,782 ",0.18%,"$336,105 ",0.38%,"$163,910 ",0.16%,"$101,578 ",0.12%,09003400100
9003400200,BERLIN,No,"$94,398 ",0.000891837,"$20,503 ",0.000231224,"$94,398 ",0.09%,"$20,503 ",0.02%, $- ,0.00%, $- ,0.00%,09003400200
