Census Tract,Town,Distressed Tract,CLM $ Collected ,% of Total CLM $ Collected ,Incentive Disbursements,% of Total Incentive Disbursements,Residential CLM $ Collected,% of Total Residential CLM $ Collected,Residential Incentive Disbursements,% of Total Residential Incentive Disbursements ,C&I CLM $ Collected,% of Total C&I CLM $ Collected,C&I Incentive Disbursements,% of TotalC&I Incentive Disbursements ,Census Tract,
9009120100,Ansonia,No,$39.53 ,0.000001375,"$1,205.00 ",0.000062413,$0.00 ,0.00%,"$1,205.00 ",0.01%,$39.53 ,0.00%,$0.00 ,0.00%,09009120100,
9009120200,Ansonia,No,$51.15 ,0.000001779,$250.00 ,0.000012949,$49.90 ,0.00%,$250.00 ,0.00%,$1.25 ,0.00%,$0.00 ,0.00%,09009120200,
9009125100,Ansonia,No,"$85,525.12 ",0.00297503,"$32,063.71 ",0.001660739,"$81,809.15 ",0.29%,"$31,413.71 ",0.16%,"$3,715.97 ",0.01%,$650.00 ,0.00%,09009125100,
9009125200,Ansonia,No,"$135,106.51 ",0.004699742,"$8,396.64 ",0.000434904,"$93,532.53 ",0.33%,"$7,811.64 ",0.04%,"$41,573.98 ",0.15%,$585.00 ,0.00%,09009125200,
9009125300,Ansonia,Yes,"$116,270.51 ",0.004044523,"$51,494.41 ",0.002667151,"$80,626.93 ",0.28%,"$23,699.15 ",0.12%,"$35,643.58 ",0.12%,"$27,795.26 ",0.14%,09009125300,
9009125400,Ansonia,No,"$60,825.38 ",0.002115839,"$36,401.40 ",0.001885409,"$56,441.10 ",0.20%,"$36,401.40 ",0.19%,"$4,384.28 ",0.02%,$0.00 ,0.00%,09009125400,
9009130102,Ansonia,No,$142.34 ,0.000004952,$0.00 ,0,$142.34 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009130102,
9009130200,Ansonia,No,$702.73 ,0.000024445,"$2,509.92 ",0.000130001,$0.00 ,0.00%,$0.00 ,0.00%,$702.73 ,0.00%,"$2,509.92 ",0.01%,09009130200,
9009160100,Ansonia,No,$385.55 ,0.000013412,$140.00 ,0.000007251,$142.36 ,0.00%,$140.00 ,0.00%,$243.19 ,0.00%,$0.00 ,0.00%,09009160100,
9001060200,Bridgeport,No,$7.22 ,0.000000251,"$1,640.00 ",0.000084944,$0.00 ,0.00%,"$1,640.00 ",0.01%,$7.22 ,0.00%,$0.00 ,0.00%,09001060200,
9001061500,Bridgeport,No,$568.72 ,0.000019783,$105.00 ,0.000005438,$0.00 ,0.00%,$105.00 ,0.00%,$568.72 ,0.00%,$0.00 ,0.00%,09001061500,
9001070100,Bridgeport,Yes,"$125,092.12 ",0.004351387,"$20,031.42 ",0.001037527,"$96,518.66 ",0.34%,"$10,738.84 ",0.06%,"$28,573.46 ",0.10%,"$9,292.58 ",0.05%,09001070100,
9001070200,Bridgeport,Yes,"$74,621.75 ",0.002595752,"$15,126.04 ",0.000783453,"$51,021.50 ",0.18%,"$8,443.79 ",0.04%,"$23,600.24 ",0.08%,"$6,682.25 ",0.04%,09001070200,
9001070300,Bridgeport,Yes,"$50,370.90 ",0.001752175,"$188,845.71 ",0.009781256,"$16,800.38 ",0.06%,"$19,544.71 ",0.10%,"$33,570.52 ",0.12%,"$169,301.00 ",0.88%,09001070300,
9001070400,Bridgeport,Yes,"$22,364.81 ",0.00077797,$723.80 ,0.000037489,"$18,036.63 ",0.06%,$723.80 ,0.00%,"$4,328.18 ",0.02%,$0.00 ,0.00%,09001070400,
9001070500,Bridgeport,Yes,"$27,511.70 ",0.000957007,"$4,813.94 ",0.000249338,"$23,359.92 ",0.08%,$0.00 ,0.00%,"$4,151.78 ",0.01%,"$4,813.94 ",0.03%,09001070500,
9001070600,Bridgeport,Yes,"$144,377.86 ",0.00502225,"$5,954.64 ",0.00030842,"$37,868.48 ",0.13%,$288.64 ,0.00%,"$106,509.38 ",0.37%,"$5,666.00 ",0.03%,09001070600,
9001070900,Bridgeport,Yes,"$135,784.56 ",0.004723328,"$230,885.51 ",0.011958706,"$102,289.99 ",0.36%,"$204,547.51 ",1.06%,"$33,494.57 ",0.12%,"$26,338.00 ",0.14%,09001070900,
9001071000,Bridgeport,Yes,"$65,170.85 ",0.002266998,"$5,890.31 ",0.000305088,"$40,466.41 ",0.14%,$811.31 ,0.00%,"$24,704.45 ",0.09%,"$5,079.00 ",0.03%,09001071000,
9001071100,Bridgeport,No,"$66,502.82 ",0.002313331,"$3,478.56 ",0.000180172,"$52,447.31 ",0.18%,"$2,157.16 ",0.01%,"$14,055.52 ",0.05%,"$1,321.40 ",0.01%,09001071100,
9001071200,Bridgeport,Yes,"$69,858.29 ",0.002430053,"$14,467.61 ",0.000749349,"$49,395.85 ",0.17%,"$14,187.61 ",0.07%,"$20,462.44 ",0.07%,$280.00 ,0.00%,09001071200,
9001071300,Bridgeport,Yes,"$43,272.08 ",0.001505239,$448.03 ,0.000023206,"$36,211.04 ",0.13%,$270.03 ,0.00%,"$7,061.04 ",0.03%,$178.00 ,0.00%,09001071300,
9001071400,Bridgeport,No,"$67,024.06 ",0.002331463,"$4,058.59 ",0.000210215,"$38,334.55 ",0.13%,"$1,948.59 ",0.01%,"$28,689.51 ",0.10%,"$2,110.00 ",0.01%,09001071400,
9001071600,Bridgeport,Yes,"$32,339.45 ",0.001124943,$251.77 ,0.00001304,"$26,407.67 ",0.09%,$201.77 ,0.00%,"$5,931.78 ",0.02%,$50.00 ,0.00%,09001071600,
9001071900,Bridgeport,Yes,"$72,081.43 ",0.002507385,"$14,748.33 ",0.000763889,"$50,509.60 ",0.18%,"$13,154.33 ",0.07%,"$21,571.82 ",0.08%,"$1,594.00 ",0.01%,09001071900,
9001072000,Bridgeport,Yes,"$47,036.17 ",0.001636175,"$7,697.65 ",0.000398699,"$41,548.42 ",0.15%,"$7,697.65 ",0.04%,"$5,487.75 ",0.02%,$0.00 ,0.00%,09001072000,
9001072100,Bridgeport,No,"$85,864.63 ",0.002986841,"$16,957.67 ",0.000878322,"$76,096.25 ",0.27%,"$12,547.67 ",0.07%,"$9,768.38 ",0.03%,"$4,410.00 ",0.02%,09001072100,
9001072200,Bridgeport,Yes,"$51,705.77 ",0.001798609,"$12,442.81 ",0.000644475,"$44,235.50 ",0.15%,"$9,133.81 ",0.05%,"$7,470.27 ",0.03%,"$3,309.00 ",0.02%,09001072200,
9001072300,Bridgeport,No,"$78,431.57 ",0.002728278,"$19,907.31 ",0.001031098,"$69,575.84 ",0.24%,"$19,907.31 ",0.10%,"$8,855.72 ",0.03%,$0.00 ,0.00%,09001072300,
9001072400,Bridgeport,No,"$56,484.91 ",0.001964853,"$11,228.72 ",0.000581591,"$43,014.58 ",0.15%,"$10,768.72 ",0.06%,"$13,470.33 ",0.05%,$460.00 ,0.00%,09001072400,
9001072500,Bridgeport,No,"$103,728.36 ",0.003608239,"$33,900.18 ",0.001755859,"$85,807.66 ",0.30%,"$33,310.18 ",0.17%,"$17,920.70 ",0.06%,$590.00 ,0.00%,09001072500,
9001072500,Bridgeport,Yes,$0.00 ,0,"$1,121.04 ",0.000058064,$0.00 ,0.00%,"$1,121.04 ",0.01%,$0.00 ,0.00%,$0.00 ,0.00%,09001072500,
9001072600,Bridgeport,No,"$147,842.57 ",0.005142772,"$45,876.23 ",0.002376158,"$124,904.36 ",0.43%,"$43,188.23 ",0.22%,"$22,938.21 ",0.08%,"$2,688.00 ",0.01%,09001072600,
9001072700,Bridgeport,No,"$83,339.60 ",0.002899006,"$26,765.09 ",0.001386297,"$65,645.52 ",0.23%,"$22,465.09 ",0.12%,"$17,694.08 ",0.06%,"$4,300.00 ",0.02%,09001072700,
9001072800,Bridgeport,No,"$84,223.45 ",0.002929751,"$12,128.66 ",0.000628203,"$74,974.84 ",0.26%,"$12,058.66 ",0.06%,"$9,248.60 ",0.03%,$70.00 ,0.00%,09001072800,
9001072900,Bridgeport,No,"$82,427.79 ",0.002867288,"$47,988.58 ",0.002485567,"$72,276.88 ",0.25%,"$47,908.58 ",0.25%,"$10,150.91 ",0.04%,$80.00 ,0.00%,09001072900,
9001073000,Bridgeport,No,"$43,586.83 ",0.001516188,"$4,229.66 ",0.000219075,"$29,953.81 ",0.10%,"$1,987.66 ",0.01%,"$13,633.02 ",0.05%,"$2,242.00 ",0.01%,09001073000,
9001073100,Bridgeport,Yes,"$102,445.77 ",0.003563623,"$10,901.24 ",0.000564629,"$78,860.89 ",0.27%,"$11,636.24 ",0.06%,"$23,584.88 ",0.08%,($735.00),0.00%,09001073100,
