Geography ID, Name,County,Tribal Areas,Avg. Energy Burden (% income),ENERGY_BURDEN,GEOID
9001100100,Census Tract 1001,Fairfield County,,3,3,09001100100
9001100200,Census Tract 1002,Fairfield County,,3,3,09001100200
9001010101,Census Tract 101.01,Fairfield County,,2,2,09001010101
9001010102,Census Tract 101.02,Fairfield County,,2,2,09001010102
9001010201,Census Tract 102.01,Fairfield County,,2,2,09001010201
9001010202,Census Tract 102.02,Fairfield County,,2,2,09001010202
9001010300,Census Tract 103,Fairfield County,,2,2,09001010300
9001105100,Census Tract 1051,Fairfield County,,2,2,09001105100
9001105200,Census Tract 1052,Fairfield County,,2,2,09001105200
9001010500,Census Tract 105,Fairfield County,,3,3,09001010500
9001010600,Census Tract 106,Fairfield County,,1,1,09001010600
9001010700,Census Tract 107,Fairfield County,,2,2,09001010700
9001010800,Census Tract 108,Fairfield County,,2,2,09001010800
9001010900,Census Tract 109,Fairfield County,,2,2,09001010900
9001110201,Census Tract 1102.01,Fairfield County,,4,4,09001110201
9001110202,Census Tract 1102.02,Fairfield County,,4,4,09001110202
9001110302,Census Tract 1103.02,Fairfield County,,4,4,09001110302
9001110400,Census Tract 1104,Fairfield County,,3,3,09001110400
9001110500,Census Tract 1105,Fairfield County,,3,3,09001110500
9001110600,Census Tract 1106,Fairfield County,,3,3,09001110600
9001011000,Census Tract 110,Fairfield County,,2,2,09001011000
9001011100,Census Tract 111,Fairfield County,,2,2,09001011100
9001011200,Census Tract 112,Fairfield County,,2,2,09001011200
9001011300,Census Tract 113,Fairfield County,,2,2,09001011300
9009120100,Census Tract 1201,New Haven County,,4,4,09009120100
9009120200,Census Tract 1202,New Haven County,,6,6,09009120200
9009130101,Census Tract 1301.01,New Haven County,,4,4,09009130101
9009130102,Census Tract 1301.02,New Haven County,,4,4,09009130102
9009150100,Census Tract 1501,New Haven County,,3,3,09009150100
9009150200,Census Tract 1502,New Haven County,,4,4,09009150200
9009151000,Census Tract 1510,New Haven County,,3,3,09009151000
9009166001,Census Tract 1660.01,New Haven County,,3,3,09009166001
9009166002,Census Tract 1660.02,New Haven County,,3,3,09009166002
9009167300,Census Tract 1673,New Haven County,,3,3,09009167300
9009170200,Census Tract 1702,New Haven County,,5,5,09009170200
9009170300,Census Tract 1703,New Haven County,,5,5,09009170300
9009170400,Census Tract 1704,New Haven County,,4,4,09009170400
9009175600,Census Tract 1756,New Haven County,,2,2,09009175600
9009175700,Census Tract 1757,New Haven County,,3,3,09009175700
9009175900,Census Tract 1759,New Haven County,,2,2,09009175900
9009180200,Census Tract 1802,New Haven County,,4,4,09009180200
9009180300,Census Tract 1803,New Haven County,,5,5,09009180300
9009180400,Census Tract 1804,New Haven County,,3,3,09009180400
9009180500,Census Tract 1805,New Haven County,,3,3,09009180500
9009180601,Census Tract 1806.01,New Haven County,,5,5,09009180601
9009180602,Census Tract 1806.02,New Haven County,,4,4,09009180602
9009184100,Census Tract 1841,New Haven County,,4,4,09009184100
