Census Tract,Moderate distress
9001010101,No
9001010102,No
9001010201,No
9001010202,No
9001010300,No
9001010400,No
9001010500,No
9001010600,No
9001010700,No
9001010800,No
9001010900,No
9001011000,No
9001011100,No
9001011200,No
9001011300,No
9001020100,No
9001020200,No
9001020300,No
9001020400,No
9001020500,No
9001020600,No
9001020700,No
9001020800,No
9001020900,No
9001021000,No
9001021100,No
9001021200,No
9001021300,No
9001021400,Yes
9001021500,Yes
9001021600,No
9001021700,No
9001021801,No
9001021802,No
9001021900,No
9001022000,No
9001022100,No
9001022200,No
9001022300,No
9001022400,No
9001030100,No
9001030200,No
9001030300,No
9001030400,No
9001030500,No
9001035100,No
9001035200,No
9001035300,No
9001035400,No
9001042500,No
9001042600,No
9001042700,No
9001042800,No
9001042900,No
9001043000,No
9001043100,No
9001043200,No
9001043300,No
9001043400,No
9001043500,No
9001043600,No
9001043700,No
9001043800,No
9001043900,No
9001044000,No
9001044100,No
9001044200,No
9001044300,No
9001044400,No
9001044500,No
9001044600,No
9001045101,No
9001045102,No
9001045200,No
9001045300,No
9001045400,No
9001050100,No
9001050200,No
9001050300,No
9001050400,No
9001050500,No
9001050600,No
9001055100,No
9001055200,No
9001060100,No
9001060200,No
9001060300,No
9001060400,No
9001060500,No
9001060600,No
9001060700,No
9001060800,No
9001060900,No
9001061000,No
9001061100,No
9001061200,No
9001061300,No
9001061400,No
9001061500,No
9001061600,No
9001070100,No
9001070200,Yes
9001070300,Yes
9001070400,Yes
9001070500,Yes
9001070600,Yes
9001070900,Yes
9001071000,No
9001071100,No
9001071200,Yes
9001071300,Yes
9001071400,Yes
9001071600,Yes
9001071900,Yes
9001072000,No
9001072100,No
9001072200,No
9001072300,No
9001072400,No
9001072500,No
9001072600,No
9001072700,No
9001072800,No
9001072900,No
9001073000,No
9001073100,Yes
9001073200,No
9001073300,Yes
9001073400,No
9001073500,Yes
9001073600,Yes
9001073700,Yes
9001073800,Yes
9001073900,Yes
9001074000,Yes
9001074300,Yes
9001074400,Yes
9001080100,No
9001080200,No
9001080400,No
9001080500,No
9001080600,No
9001080700,No
9001080800,No
9001080900,No
9001081000,No
9001081100,No
9001081200,No
9001081300,No
9001090100,No
9001090200,No
9001090300,No
9001090400,No
9001090500,No
9001090600,No
9001090700,No
9001100100,No
9001100200,No
9001100300,No
9001105100,No
9001105200,No
9001110100,No
9001110201,No
9001110202,No
9001110301,No
9001110302,No
9001110400,No
9001110500,No
9001110600,No
9001200100,No
9001200200,No
9001200301,No
9001200302,No
9001205100,No
9001205200,No
9001205300,No
9001210100,Yes
9001210200,No
9001210300,No
9001210400,No
9001210500,No
9001210600,No
9001210701,Yes
9001210702,No
9001210800,No
9001210900,No
9001211000,No
9001211200,No
9001211300,No
9001211400,No
9001220100,No
9001220200,No
9001220300,No
9001230100,No
9001230200,No
9001230300,No
9001230400,No
9001230501,No
9001230502,No
9001240100,No
9001240200,No
9001245100,No
9001245200,No
9001245300,No
9001245400,No
9001245500,No
9001245600,No
9001257100,No
9001257200,No
9003330100,No
9003400100,No
9003400200,No
9003400300,No
9003405100,No
9003405200,No
9003405300,No
9003405401,No
9003405402,No
9003405500,No
9003405600,No
9003405700,Yes
9003405800,No
9003405900,No
9003406001,No
9003406002,No
9003406100,Yes
9003410101,No
9003410102,No
