id,tract,Geographic Area Name,"CTRUCA.Tract Population, 2010","CTRUCA.Land Area (square miles), 2010","CTRUCA.Population Density (per square mile), 2010",Rural Rank,POC population,percent,racialdiversitytable.percentile rank,racial diversity index,,,Composite Index (Income/Rural Rank/DI/Housing),rounded composite,,,,,Check composites with Mike; all 4 values?,,RUCA Codes
1400000US09001010101,9001010101,"Census Tract 101.01, Fairfield County, Connecticut",4476,12.64385742,354.00589,1,281,6.762936221,0.218,2,,,1.5,2,,,,,,,USDA ERS - Rural-Urban Commuting Area Codes
1400000US09001010102,9001010102,"Census Tract 101.02, Fairfield County, Connecticut",4330,12.57991195,344.1995474,1,523,12.02022524,0.485,3,,,2,2,,,,,,,Racial/Ethnicity data is from the ACS/Census
1400000US09001010201,9001010201,"Census Tract 102.01, Fairfield County, Connecticut",3421,4.34485488,787.3680698,1,364,10.44176707,0.404,3,,,2,2,,,,,,,
1400000US09001010202,9001010202,"Census Tract 102.02, Fairfield County, Connecticut",5359,3.761120129,1424.841488,1,1002,18.77107531,0.712,4,,,2.5,3,,,,,,,
1400000US09001010300,9001010300,"Census Tract 103, Fairfield County, Connecticut",4010,3.70966545,1080.960009,1,382,10.10582011,0.387,2,,,1.5,2,,,,,,,
1400000US09001010400,9001010400,"Census Tract 104, Fairfield County, Connecticut",5290,1.041739962,5078.042692,1,622,10.72598724,0.413,3,,,2,2,,,,,,,
1400000US09001010500,9001010500,"Census Tract 105, Fairfield County, Connecticut",5494,0.701414833,7832.739975,1,876,14.89795918,0.59,3,,,2.5,3,,,,,,,
1400000US09001010600,9001010600,"Census Tract 106, Fairfield County, Connecticut",1845,0.340998491,5410.581126,1,284,13.77303589,0.56,3,,,2,2,,,,,,,
1400000US09001010700,9001010700,"Census Tract 107, Fairfield County, Connecticut",3579,0.716311427,4996.430136,1,526,14.59084605,0.583,3,,,3.5,4,,,,,,,
1400000US09001010800,9001010800,"Census Tract 108, Fairfield County, Connecticut",3388,0.75104402,4511.053824,1,421,11.85581526,0.473,3,,,2,2,,,,,,,
1400000US09001010900,9001010900,"Census Tract 109, Fairfield County, Connecticut",4870,0.994123525,4898.787603,1,1291,24.42762535,0.815,5,,,3,3,,,,,,,
1400000US09001011000,9001011000,"Census Tract 110, Fairfield County, Connecticut",5263,1.717894446,3063.634097,1,543,9.776737486,0.373,2,,,1.5,2,,,,,,,
1400000US09001011100,9001011100,"Census Tract 111, Fairfield County, Connecticut",4894,1.69091517,2894.290669,1,514,11.15209373,0.433,3,,,2,2,,,,,,,
1400000US09001011200,9001011200,"Census Tract 112, Fairfield County, Connecticut",1733,1.885313368,919.2105828,1,373,21.73659674,0.778,4,,,2.5,3,,,,,,,
1400000US09001011300,9001011300,"Census Tract 113, Fairfield County, Connecticut",3219,0.742893403,4333.057725,1,902,26.40515222,0.851,5,,,3.5,4,,,,,,,
1400000US09001020100,9001020100,"Census Tract 201, Fairfield County, Connecticut",3523,0.36254222,9717.488897,1,1141,20.98969831,0.761,4,,,3.5,4,,,,,,,
1400000US09001020200,9001020200,"Census Tract 202, Fairfield County, Connecticut",3687,7.267052589,507.358376,1,551,15.54740406,0.612,4,,,2.5,3,,,,,,,
1400000US09001020300,9001020300,"Census Tract 203, Fairfield County, Connecticut",7263,7.601713213,955.4425163,1,793,11.34477825,0.443,3,,,2,2,,,,,,,
1400000US09001020400,9001020400,"Census Tract 204, Fairfield County, Connecticut",3586,3.61177156,992.8645652,1,694,19.52729319,0.726,4,,,2.5,3,,,,,,,
1400000US09001020500,9001020500,"Census Tract 205, Fairfield County, Connecticut",4896,3.782704013,1294.312213,1,561,11.48178469,0.455,3,,,2,2,,,,,,,
1400000US09001020600,9001020600,"Census Tract 206, Fairfield County, Connecticut",4952,1.379936123,3588.571903,1,1015,19.52298519,0.726,4,,,2.5,3,,,,,,,
1400000US09001020700,9001020700,"Census Tract 207, Fairfield County, Connecticut",4352,2.241149766,1941.860409,1,419,10.27212552,0.4,3,,,1.5,2,,,,,,,
1400000US09001020800,9001020800,"Census Tract 208, Fairfield County, Connecticut",2939,0.894025378,3287.378718,1,438,16.47235803,0.645,4,,,2.5,3,,,,,,,
1400000US09001020900,9001020900,"Census Tract 209, Fairfield County, Connecticut",4906,0.659561357,7438.276891,1,963,20.51555177,0.753,4,,,3.5,4,,,,,,,
1400000US09001021000,9001021000,"Census Tract 210, Fairfield County, Connecticut",3499,0.736903414,4748.247779,1,521,15.65975353,0.616,4,,,2.5,3,,,,,,,
1400000US09001021100,9001021100,"Census Tract 211, Fairfield County, Connecticut",5976,0.717745797,8326.06757,1,989,15.17802333,0.604,4,,,3,3,,,,,,,
1400000US09001021200,9001021200,"Census Tract 212, Fairfield County, Connecticut",4177,0.923928219,4520.913978,1,732,17.34186212,0.667,4,,,2.5,3,,,,,,,
1400000US09001021300,9001021300,"Census Tract 213, Fairfield County, Connecticut",4422,0.813230409,5437.573352,1,812,18.67095884,0.71,4,,,3,3,,,,,,,
1400000US09001021400,9001021400,"Census Tract 214, Fairfield County, Connecticut",6690,0.634477457,10544.10984,1,1633,22.4993111,0.792,4,,,4,4,,,,,,,
1400000US09001021500,9001021500,"Census Tract 215, Fairfield County, Connecticut",6303,0.295658513,21318.51352,1,2321,35.87326121,0.941,5,,,4.5,5,,,,,,,
1400000US09001021600,9001021600,"Census Tract 216, Fairfield County, Connecticut",7151,0.312067083,22914.94487,1,3855,50.68367079,0.992,5,,,3.5,4,,,,,,,
1400000US09001021700,9001021700,"Census Tract 217, Fairfield County, Connecticut",7354,0.297838832,24691.20618,1,1989,26.76985195,0.855,5,,,3.5,4,,,,,,,
1400000US09001021801,9001021801,"Census Tract 218.01, Fairfield County, Connecticut",4334,0.379816818,11410.76382,1,1454,31.60869565,0.906,5,,,3.5,4,,,,,,,
1400000US09001021802,9001021802,"Census Tract 218.02, Fairfield County, Connecticut",5408,0.553091366,9777.769706,1,2075,39.39624074,0.963,5,,,4,4,,,,,,,
1400000US09001021900,9001021900,"Census Tract 219, Fairfield County, Connecticut",5713,0.830503076,6878.963085,1,1352,21.85933711,0.786,4,,,3.5,4,,,,,,,
1400000US09001022000,9001022000,"Census Tract 220, Fairfield County, Connecticut",2959,0.284493982,10400.92299,1,560,19.21757035,0.724,4,,,3.5,4,,,,,,,
1400000US09001022100,9001022100,"Census Tract 221, Fairfield County, Connecticut",7213,0.777450706,9277.75863,1,2424,29.7459811,0.891,5,,,4,4,,,,,,,
1400000US09001022200,9001022200,"Census Tract 222, Fairfield County, Connecticut",3186,0.558101427,5708.639762,1,1696,25.82216809,0.848,5,,,3.5,4,,,,,,,
1400000US09001022300,9001022300,"Census Tract 223, Fairfield County, Connecticut",5763,1.052924183,5473.328556,1,1350,25.64589666,0.846,5,,,3.5,4,,,,,,,
1400000US09001022400,9001022400,"Census Tract 224, Fairfield County, Connecticut",2391,0.669854069,3569.434167,1,145,6.763059701,0.229,2,,,1.5,2,,,,,,,
1400000US09001030100,9001030100,"Census Tract 301, Fairfield County, Connecticut",3502,4.256708525,822.7013852,1,99,2.733296521,0.033,1,,,1,1,,,,,,,
1400000US09001030200,9001030200,"Census Tract 302, Fairfield County, Connecticut",3442,1.768135605,1946.683269,1,433,12.04785754,0.498,3,,,2,2,,,,,,,
1400000US09001030300,9001030300,"Census Tract 303, Fairfield County, Connecticut",4156,3.192658035,1301.736658,1,262,6.107226107,0.194,1,,,1,1,,,,,,,
1400000US09001030400,9001030400,"Census Tract 304, Fairfield County, Connecticut",3958,1.371775468,2885.311841,1,564,13.23322384,0.543,3,,,2,2,,,,,,,
1400000US09001030500,9001030500,"Census Tract 305, Fairfield County, Connecticut",5674,2.066118067,2746.212857,1,847,14.17810512,0.588,3,,,2,2,,,,,,,
1400000US09001035100,9001035100,"Census Tract 351, Fairfield County, Connecticut",7406,2.536532602,2919.733811,1,698,9.067290205,0.352,2,,,1.5,2,,,,,,,
1400000US09001035200,9001035200,"Census Tract 352, Fairfield County, Connecticut",3316,6.718458155,493.5656253,1,232,7.532467532,0.263,2,,,1.5,2,,,,,,,
1400000US09001035300,9001035300,"Census Tract 353, Fairfield County, Connecticut",3937,5.190271538,758.534495,1,496,12.0271581,0.496,3,,,2,2,,,,,,,
1400000US09001035400,9001035400,"Census Tract 354, Fairfield County, Connecticut",5079,7.74946409,655.4001594,1,444,8.262002233,0.305,2,,,1.5,2,,,,,,,
1400000US09001042500,9001042500,"Census Tract 425, Fairfield County, Connecticut",3719,2.395848166,1552.268651,1,209,5.243351731,0.151,1,,,1,1,,,,,,,
1400000US09001042600,9001042600,"Census Tract 426, Fairfield County, Connecticut",3911,1.135213368,3445.167324,1,436,10.84577114,0.427,3,,,2,2,,,,,,,
1400000US09001042700,9001042700,"Census Tract 427, Fairfield County, Connecticut",4578,1.631384393,2806.205589,1,787,15.10556622,0.606,4,,,3,3,,,,,,,
1400000US09001042800,9001042800,"Census Tract 428, Fairfield County, Connecticut",4606,0.942253014,4888.283646,1,500,10.54629825,0.421,3,,,2.5,3,,,,,,,
1400000US09001042900,9001042900,"Census Tract 429, Fairfield County, Connecticut",1651,1.475738112,1118.762189,1,53,3.417150226,0.065,1,,,1,1,,,,,,,
1400000US09001043000,9001043000,"Census Tract 430, Fairfield County, Connecticut",3090,1.160587231,2662.445285,1,339,11.66953528,0.469,3,,,2,2,,,,,,,
1400000US09001043100,9001043100,"Census Tract 431, Fairfield County, Connecticut",4341,2.562910716,1693.777303,1,1343,29.06926407,0.876,5,,,3,3,,,,,,,
1400000US09001043200,9001043200,"Census Tract 432, Fairfield County, Connecticut",3074,1.067370582,2879.974444,1,406,12.66375546,0.522,3,,,3,3,,,,,,,
1400000US09001043300,9001043300,"Census Tract 433, Fairfield County, Connecticut",3196,0.476063982,6713.383332,1,629,21.38728324,0.771,4,,,3,3,,,,,,,
1400000US09001043400,9001043400,"Census Tract 434, Fairfield County, Connecticut",4471,0.524655713,8521.778934,1,1003,23.11592533,0.802,5,,,4,4,,,,,,,
1400000US09001043500,9001043500,"Census Tract 435, Fairfield County, Connecticut",2604,0.7078527,3678.731462,1,126,5.170291342,0.143,1,,,1.5,2,,,,,,,
1400000US09001043600,9001043600,"Census Tract 436, Fairfield County, Connecticut",3080,0.557767835,5522.010782,1,543,17.60700389,0.684,4,,,3,3,,,,,,,
1400000US09001043700,9001043700,"Census Tract 437, Fairfield County, Connecticut",2039,0.455690142,4474.531729,1,468,18.04859236,0.698,4,,,3.5,4,,,,,,,
1400000US09001043800,9001043800,"Census Tract 438, Fairfield County, Connecticut",7650,0.747887635,10228.80931,1,1380,19.71428571,0.738,4,,,3.5,4,,,,,,,
1400000US09001043900,9001043900,"Census Tract 439, Fairfield County, Connecticut",5456,1.337302335,4079.855286,1,1584,25.04347826,0.828,5,,,3.5,4,,,,,,,
1400000US09001044000,9001044000,"Census Tract 440, Fairfield County, Connecticut",5974,0.469377464,12727.49643,1,1067,18.00236207,0.698,4,,,4,4,,,,,,,
1400000US09001044100,9001044100,"Census Tract 441, Fairfield County, Connecticut",3509,0.394892177,8885.969901,1,487,14.54599761,0.593,3,,,3,3,,,,,,,
1400000US09001044200,9001044200,"Census Tract 442, Fairfield County, Connecticut",3994,0.559589851,7137.370326,1,662,16.2254902,0.642,4,,,4,4,,,,,,,
1400000US09001044300,9001044300,"Census Tract 443, Fairfield County, Connecticut",3898,1.501066414,2596.820476,1,512,11.47982063,0.467,3,,,2.5,3,,,,,,,
1400000US09001044400,9001044400,"Census Tract 444, Fairfield County, Connecticut",3572,1.029434499,3469.866225,1,386,9.606769537,0.388,2,,,2.5,3,,,,,,,
1400000US09001044500,9001044500,"Census Tract 445, Fairfield County, Connecticut",3641,0.422967211,8608.232289,1,407,10.03699137,0.401,3,,,4,4,,,,,,,
1400000US09001044600,9001044600,"Census Tract 446, Fairfield County, Connecticut",3549,1.304118397,2721.378678,1,169,4.503064215,0.113,1,,,1,1,,,,,,,
1400000US09001045101,9001045101,"Census Tract 451.01, Fairfield County, Connecticut",4170,7.598875362,548.7654161,1,464,11.47662627,0.464,3,,,2,2,,,,,,,
1400000US09001045102,9001045102,"Census Tract 451.02, Fairfield County, Connecticut",6034,10.38438788,581.0645817,1,650,10.45856798,0.423,3,,,2,2,,,,,,,
1400000US09001045200,9001045200,"Census Tract 452, Fairfield County, Connecticut",2367,3.12888052,756.500603,1,270,10.88270859,0.432,3,,,2,2,,,,,,,
1400000US09001045300,9001045300,"Census Tract 453, Fairfield County, Connecticut",2461,2.704311757,910.0282145,1,378,15.01787843,0.604,4,,,2.5,3,,,,,,,
1400000US09001045400,9001045400,"Census Tract 454, Fairfield County, Connecticut",3030,2.988514232,1013.881737,1,501,15.62207671,0.619,4,,,2.5,3,,,,,,,
1400000US09001050100,9001050100,"Census Tract 501, Fairfield County, Connecticut",3828,3.366883553,1136.956458,1,398,8.887896382,0.348,2,,,1.5,2,,,,,,,
1400000US09001050200,9001050200,"Census Tract 502, Fairfield County, Connecticut",4008,1.870950367,2142.22679,1,631,16.37684921,0.645,4,,,2.5,3,,,,,,,
1400000US09001050300,9001050300,"Census Tract 503, Fairfield County, Connecticut",8122,6.799465866,1194.505592,1,958,10.84200996,0.431,3,,,2,2,,,,,,,
1400000US09001050400,9001050400,"Census Tract 504, Fairfield County, Connecticut",2341,1.390514937,1683.548978,1,260,11.0685398,0.441,3,,,2,2,,,,,,,
1400000US09001050500,9001050500,"Census Tract 505, Fairfield County, Connecticut",4744,2.611812101,1816.363435,1,311,6.104023553,0.198,1,,,1,1,,,,,,,
1400000US09001050600,9001050600,"Census Tract 506, Fairfield County, Connecticut",3348,3.918123173,854.4907478,1,462,13.56828194,0.558,3,,,2,2,,,,,,,
1400000US09001055100,9001055100,"Census Tract 551, Fairfield County, Connecticut",5807,13.37328513,434.2238982,1,942,16.8756718,0.657,4,,,2.5,3,,,,,,,
1400000US09001055200,9001055200,"Census Tract 552, Fairfield County, Connecticut",4372,6.425391932,680.4254193,1,241,5.122210414,0.143,1,,,1,1,,,,,,,
1400000US09001060100,9001060100,"Census Tract 601, Fairfield County, Connecticut",4152,1.53898937,2697.874385,1,333,7.544177617,0.269,2,,,1.5,2,,,,,,,
1400000US09001060200,9001060200,"Census Tract 602, Fairfield County, Connecticut",4164,1.564842771,2660.970211,1,523,11.99266223,0.491,3,,,2,2,,,,,,,
1400000US09001060300,9001060300,"Census Tract 603, Fairfield County, Connecticut",4088,4.510610088,906.307555,1,260,6.568974229,0.221,2,,,1.5,2,,,,,,,
1400000US09001060400,9001060400,"Census Tract 604, Fairfield County, Connecticut",4443,8.643086377,514.0524815,1,233,5.154867257,0.144,1,,,1,1,,,,,,,
