TYPE,Census Tract,SHEETS,Year
TRACT,9001010101.00,4,2010
TRACT,9001010102.00,4,2010
TRACT,9001010201.00,4,2010
TRACT,9001010202.00,4,2010
TRACT,9001010300.00,4,2010
TRACT,9001010400.00,4,2010
TRACT,9001010500.00,4,2010
TRACT,9001010600.00,4,2010
TRACT,9001010700.00,4,2010
TRACT,9001010800.00,4,2010
TRACT,9001010900.00,4,2010
TRACT,9001011000.00,4,2010
TRACT,9001011100.00,4,2010
TRACT,9001011200.00,4,2010
TRACT,9001011300.00,4,2010
TRACT,9001020100.00,4,2010
TRACT,9001020200.00,4,2010
TRACT,9001020300.00,4,2010
TRACT,9001020400.00,4,2010
TRACT,9001020500.00,4,2010
TRACT,9001020600.00,4,2010
TRACT,9001020700.00,4,2010
TRACT,9001020800.00,4,2010
TRACT,9001020900.00,4,2010
TRACT,9001021000.00,4,2010
TRACT,9001021100.00,4,2010
TRACT,9001021200.00,4,2010
TRACT,9001021300.00,4,2010
TRACT,9001021400.00,4,2010
TRACT,9001021500.00,4,2010
TRACT,9001021600.00,4,2010
TRACT,9001021700.00,4,2010
TRACT,9001021801.00,4,2010
TRACT,9001021802.00,4,2010
TRACT,9001021900.00,4,2010
TRACT,9001022000.00,4,2010
TRACT,9001022100.00,4,2010
TRACT,9001022200.00,4,2010
TRACT,9001022300.00,4,2010
TRACT,9001022400.00,4,2010
TRACT,9001030100.00,4,2010
TRACT,9001030200.00,4,2010
TRACT,9001030300.00,4,2010
TRACT,9001030400.00,4,2010
TRACT,9001030500.00,4,2010
TRACT,9001035100.00,4,2010
TRACT,9001035200.00,4,2010
TRACT,9001035300.00,4,2010
TRACT,9001035400.00,4,2010
TRACT,9001042500.00,4,2010
TRACT,9001042600.00,4,2010
TRACT,9001042700.00,4,2010
TRACT,9001042800.00,4,2010
TRACT,9001042900.00,4,2010
TRACT,9001043000.00,4,2010
TRACT,9001043100.00,4,2010
TRACT,9001043200.00,4,2010
TRACT,9001043300.00,4,2010
TRACT,9001043400.00,4,2010
TRACT,9001043500.00,4,2010
TRACT,9001043600.00,4,2010
TRACT,9001043700.00,4,2010
TRACT,9001043800.00,4,2010
TRACT,9001043900.00,4,2010
TRACT,9001044000.00,4,2010
TRACT,9001044100.00,4,2010
TRACT,9001044200.00,4,2010
TRACT,9001044300.00,4,2010
TRACT,9001044400.00,4,2010
TRACT,9001044500.00,4,2010
TRACT,9001044600.00,4,2010
TRACT,9001045101.00,4,2010
TRACT,9001045102.00,24,2010
TRACT,9001045200.00,4,2010
TRACT,9001045300.00,4,2010
TRACT,9001045400.00,4,2010
TRACT,9001050100.00,45,2010
TRACT,9001050200.00,45,2010
TRACT,9001050300.00,5,2010
TRACT,9001050400.00,45,2010
TRACT,9001050500.00,45,2010
TRACT,9001050600.00,5,2010
TRACT,9001055100.00,2345,2010
TRACT,9001055200.00,45,2010
TRACT,9001060100.00,5,2010
TRACT,9001060200.00,5,2010
TRACT,9001060300.00,5,2010
TRACT,9001060400.00,5,2010
TRACT,9001060500.00,5,2010
TRACT,9001060600.00,5,2010
TRACT,9001060700.00,5,2010
TRACT,9001060800.00,5,2010
TRACT,9001060900.00,5,2010
TRACT,9001061000.00,5,2010
TRACT,9001061100.00,5,2010
TRACT,9001061200.00,5,2010
TRACT,9001061300.00,5,2010
TRACT,9001061400.00,5,2010
TRACT,9001061500.00,5,2010
TRACT,9001061600.00,5,2010
TRACT,9001070100.00,5,2010
TRACT,9001070200.00,5,2010
TRACT,9001070300.00,5,2010
TRACT,9001070400.00,5,2010
TRACT,9001070500.00,5,2010
TRACT,9001070600.00,5,2010
TRACT,9001070900.00,5,2010
TRACT,9001071000.00,5,2010
TRACT,9001071100.00,5,2010
TRACT,9001071200.00,5,2010
TRACT,9001071300.00,5,2010
TRACT,9001071400.00,5,2010
TRACT,9001071600.00,5,2010
TRACT,9001071900.00,5,2010
TRACT,9001072000.00,5,2010
TRACT,9001072100.00,5,2010
TRACT,9001072200.00,5,2010
TRACT,9001072300.00,5,2010
TRACT,9001072400.00,5,2010
TRACT,9001072500.00,5,2010
TRACT,9001072600.00,5,2010
TRACT,9001072700.00,5,2010
TRACT,9001072800.00,5,2010
TRACT,9001072900.00,5,2010
TRACT,9001073000.00,5,2010
TRACT,9001073100.00,5,2010
TRACT,9001073200.00,5,2010
TRACT,9001073300.00,5,2010
TRACT,9001073400.00,5,2010
TRACT,9001073500.00,5,2010
TRACT,9001073600.00,5,2010
TRACT,9001073700.00,5,2010
TRACT,9001073800.00,5,2010
TRACT,9001073900.00,5,2010
TRACT,9001074000.00,5,2010
TRACT,9001074300.00,5,2010
TRACT,9001074400.00,5,2010
TRACT,9001080100.00,5,2010
TRACT,9001080200.00,5,2010
TRACT,9001080400.00,5,2010
TRACT,9001080500.00,5,2010
TRACT,9001080600.00,5,2010
TRACT,9001080700.00,5,2010
TRACT,9001080800.00,5,2010
TRACT,9001080900.00,5,2010
TRACT,9001081000.00,5,2010
TRACT,9001081100.00,5,2010
TRACT,9001081200.00,5,2010
TRACT,9001081300.00,35,2010
TRACT,9001090100.00,35,2010
TRACT,9001090200.00,35,2010
TRACT,9001090300.00,5,2010
TRACT,9001090400.00,5,2010
TRACT,9001090500.00,5,2010
TRACT,9001090600.00,35,2010
TRACT,9001090700.00,35,2010
TRACT,9001100100.00,3,2010
TRACT,9001100200.00,3,2010
TRACT,9001100300.00,3,2010
TRACT,9001105100.00,235,2010
TRACT,9001105200.00,35,2010
TRACT,9001110100.00,3,2010
TRACT,9001110201.00,3,2010
TRACT,9001110202.00,35,2010
TRACT,9001110301.00,3,2010
TRACT,9001110302.00,35,2010
TRACT,9001110400.00,3,2010
TRACT,9001110500.00,3,2010
TRACT,9001110600.00,3,2010
TRACT,9001200100.00,2,2010
TRACT,9001200200.00,2,2010
TRACT,9001200301.00,2,2010
TRACT,9001200302.00,23,2010
TRACT,9001205100.00,2,2010
TRACT,9001205200.00,23,2010
TRACT,9001205300.00,23,2010
TRACT,9001210100.00,2,2010
TRACT,9001210200.00,2,2010
TRACT,9001210300.00,2,2010
TRACT,9001210400.00,2,2010
TRACT,9001210500.00,2,2010
TRACT,9001210600.00,2,2010
TRACT,9001210701.00,2,2010
TRACT,9001210702.00,2,2010
TRACT,9001210800.00,2,2010
TRACT,9001210900.00,2,2010
TRACT,9001211000.00,2,2010
TRACT,9001211100.00,2,2010
TRACT,9001211200.00,2,2010
TRACT,9001211300.00,2,2010
TRACT,9001211400.00,2,2010
TRACT,9001220100.00,2,2010
TRACT,9001220200.00,2,2010
TRACT,9001220300.00,2,2010
TRACT,9001230100.00,23,2010
TRACT,9001230200.00,3,2010
TRACT,9001230300.00,23,2010
TRACT,9001230400.00,3,2010
TRACT,9001230501.00,3,2010
TRACT,9001230502.00,3,2010
TRACT,9001240100.00,24,2010
TRACT,9001240200.00,23,2010
TRACT,9001245100.00,2,2010
TRACT,9001245200.00,2,2010
TRACT,9001245300.00,2,2010
TRACT,9001245400.00,24,2010
TRACT,9001245500.00,24,2010
TRACT,9001245600.00,2,2010
TRACT,9001257100.00,12,2010
TRACT,9001257200.00,5,2010
TRACT,9001990000.00,45,2010
TRACT,9003330100.00,1,2010
TRACT,9003400100.00,34,2010
TRACT,9003400200.00,34,2010
TRACT,9003400300.00,3,2010
TRACT,9003405100.00,3,2010
TRACT,9003405200.00,3,2010
TRACT,9003405300.00,3,2010
TRACT,9003405401.00,3,2010
TRACT,9003405402.00,3,2010
TRACT,9003405500.00,3,2010
TRACT,9003405600.00,3,2010
TRACT,9003405700.00,3,2010
TRACT,9003405800.00,3,2010
TRACT,9003405900.00,3,2010
TRACT,9003406001.00,3,2010
TRACT,9003406002.00,3,2010
TRACT,9003406100.00,3,2010
TRACT,9003410101.00,3,2010
TRACT,9003410102.00,13,2010
TRACT,9003415300.00,3,2010
TRACT,9003415400.00,3,2010
TRACT,9003415500.00,3,2010
TRACT,9003415600.00,3,2010
TRACT,9003415700.00,3,2010
TRACT,9003415800.00,3,2010
TRACT,9003415900.00,3,2010
TRACT,9003416000.00,3,2010
TRACT,9003416100.00,3,2010
TRACT,9003416200.00,3,2010
TRACT,9003416300.00,3,2010
TRACT,9003416400.00,3,2010
TRACT,9003416500.00,3,2010
TRACT,9003416600.00,3,2010
TRACT,9003416700.00,3,2010
TRACT,9003416800.00,3,2010
TRACT,9003417100.00,3,2010
TRACT,9003417200.00,3,2010
TRACT,9003417300.00,3,2010
TRACT,9003417400.00,3,2010
TRACT,9003417500.00,3,2010
TRACT,9003420400.00,3,2010
TRACT,9003420500.00,3,2010
TRACT,9003420600.00,3,2010
TRACT,9003420700.00,3,2010
TRACT,9003430100.00,3,2010
TRACT,9003430201.00,3,2010
TRACT,9003430202.00,3,2010
TRACT,9003430203.00,3,2010
TRACT,9003430301.00,3,2010
TRACT,9003430302.00,3,2010
TRACT,9003430400.00,3,2010
TRACT,9003430500.00,3,2010
TRACT,9003430601.00,3,2010
TRACT,9003430602.00,3,2010
TRACT,9003460100.00,3,2010
TRACT,9003460202.00,3,2010
TRACT,9003460203.00,3,2010
TRACT,9003460204.00,3,2010
TRACT,9003460301.00,3,2010
TRACT,9003460302.00,3,2010
TRACT,9003462101.00,13,2010
TRACT,9003462102.00,13,2010
TRACT,9003462201.00,13,2010
TRACT,9003462202.00,13,2010
TRACT,9003464101.00,1,2010
TRACT,9003464102.00,1,2010
